"Region","Public administration","MoE"
"Tulsa, OK Metro Area","9,625","± 541"
"Tuscaloosa, AL Metro Area","3,232","± 567"
"Twin Falls, ID Metro Area","1,297","± 310"
"Tyler, TX Metro Area","2,293","± 599"
"Urban Honolulu, HI Metro Area","26,799","± 1,191"
"Utica-Rome, NY Metro Area","5,197","± 487"
"Valdosta, GA Metro Area","2,158","± 468"
"Vallejo, CA Metro Area","7,630","± 599"
"Victoria, TX Metro Area","719","± 204"
"Vineland, NJ Metro Area","2,263","± 418"
"Virginia Beach-Chesapeake-Norfolk, VA-NC Metro Area","39,758","± 1,460"
"Visalia, CA Metro Area","6,330","± 755"
"Waco, TX Metro Area","3,582","± 547"
"Walla Walla, WA Metro Area","1,079","± 273"
"Warner Robins, GA Metro Area","8,569","± 791"
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","230,009","± 3,454"
"Waterbury-Shelton, CT Metro Area","4,438","± 627"
"Waterloo-Cedar Falls, IA Metro Area","1,397","± 263"
"Watertown-Fort Drum, NY Metro Area","2,883","± 334"
"Wausau, WI Metro Area","999","± 190"
"Weirton-Steubenville, WV-OH Metro Area","1,246","± 302"
"Wenatchee-East Wenatchee, WA Metro Area","1,520","± 307"
"Wheeling, WV-OH Metro Area","1,465","± 251"
"Wichita, KS Metro Area","6,807","± 678"
"Wichita Falls, TX Metro Area","2,494","± 379"
"Wildwood-The Villages, FL Metro Area","772","± 288"
"Williamsport, PA Metro Area","1,413","± 244"
"Wilmington, NC Metro Area","5,007","± 740"
"Winchester, VA-WV Metro Area","3,084","± 437"
"Winston-Salem, NC Metro Area","5,783","± 581"
"Worcester, MA Metro Area","9,831","± 779"
"Yakima, WA Metro Area","2,550","± 401"
"York-Hanover, PA Metro Area","6,760","± 610"
"Youngstown-Warren, OH Metro Area","3,440","± 419"
"Yuba City, CA Metro Area","2,859","± 551"
"Yuma, AZ Metro Area","4,787","± 559"
